Date,IEMS,IQQE,Gold
6/1/2016,50.91981,27.97,1084.529331
6/2/2016,50.919786,28.14,1081.319284
6/3/2016,51.56668,27.98,1111.749628
6/6/2016,51.359319,28.37,1096.617039
6/7/2016,51.964364,28.69,1096.565301
6/8/2016,51.907834,28.72,1107.238263
6/9/2016,51.741104,28.63,1119.808277
6/10/2016,51.165264,28.17,1126.449661
6/13/2016,50.694,27.78,1139.905021
6/14/2016,50.015126,27.59,1145.341019
6/15/2016,50.82974,27.96,1145.004944
6/16/2016,50.29338,27.61,1159.879869
6/17/2016,50.285874,27.62,1148.5155
6/20/2016,50.964375,28.25,1138.425
6/21/2016,51.054064,28.37,1122.99495
6/22/2016,51.423126,28.63,1123.8284
6/23/2016,51.35422,28.74,1107.333557
6/24/2016,50.562015,28.17,1192.884
6/27/2016,49.956942,27.58,1202.54925
6/28/2016,50.889685,28.3,1187.847474
6/29/2016,52.20843,28.97,1193.760652
6/30/2016,52.33067,29.19,1187.482902
7/1/2016,52.754394,29.45,1200.490226
7/4/2016,52.853486,29.5,null
7/5/2016,52.342648,29.04,1216.962102
7/6/2016,52.315894,29,1233.050682
7/7/2016,52.642825,29.07,1227.490228
7/8/2016,53.132106,29.6,1225.416758
7/11/2016,53.67243,29.97,1226.4105
7/12/2016,53.978792,30.27,1202.824538
7/13/2016,53.92104,30.09,1212.455702
7/14/2016,53.634592,30.6,1193.244234
7/15/2016,53.439742,30.59,1191.9929
7/18/2016,53.902026,30.71,1201.803502
7/19/2016,53.764846,30.75,1206.6053
7/20/2016,54.18944,30.92,1197.470444
7/21/2016,54.183472,30.95,1207.96095
7/22/2016,54.428605,30.94,1201.242468
7/25/2016,54.353714,30.77,1201.354625
7/26/2016,54.430698,30.94,1200.912465
7/27/2016,54.569804,31,1206.940658
7/28/2016,54.228238,30.68,1201.334954
7/29/2016,54.374914,30.66,1213.8302
8/1/2016,54.467517,30.87,1210.449001
8/2/2016,53.889888,30.33,1218.954981
8/3/2016,53.913302,30.4,1210.861669
8/4/2016,54.63432,30.81,1220.202444
8/5/2016,54.886572,31.23,1197.948982
8/8/2016,55.48202,31.58,1202.726822
8/9/2016,56.373615,31.8,1208.7153
8/10/2016,55.568315,31.51,1201.938674
8/11/2016,56.010602,31.77,1203.6855
8/12/2016,null,31.84,1197.144004
8/15/2016,56.3535,32.15,1198.898394
8/16/2016,55.428633,31.7,1195.59765
8/17/2016,54.7599,31.37,1190.706317
8/18/2016,55.321079,31.61,1193.514917
8/19/2016,54.872235,31.44,1183.439181
8/22/2016,54.281765,31.15,1183.195607
8/23/2016,54.624886,31.34,1182.275119
8/24/2016,54.43925,31.16,1175.405021
8/25/2016,54.514835,31.14,1169.212549
8/26/2016,55.223395,31.56,1170.45255
8/29/2016,null,31.27,1184.392391
8/30/2016,55.076054,31.49,1174.496136
8/31/2016,55.470025,31.18,1173.988292
9/1/2016,54.881724,30.99,1177.305796
9/2/2016,55.52481,31.69,1181.164119
9/5/2016,56.11464,32.02,null
9/6/2016,56.534949,32.01,1209.197362
9/7/2016,56.134892,32.11,1196.292614
9/8/2016,55.942107,32.11,1183.469083
9/9/2016,54.9185,31.37,1180.463729
9/12/2016,54.525868,31.08,1176.7468
9/13/2016,53.603839,30.68,1172.7229
9/14/2016,54.170378,30.62,1177.9851
9/15/2016,54.453408,30.61,1167.1761
9/16/2016,54.285352,30.67,1163.206684
9/19/2016,55.26469,31.09,1176.50195
9/20/2016,55.157029,31.1,1174.579126
9/21/2016,55.858932,31.33,1190.096632
9/22/2016,56.306544,31.81,1192.687941
9/23/2016,56.560531,31.66,1192.381196
9/26/2016,55.280654,31.08,1189.519586
9/27/2016,55.759728,31.25,1181.774691
9/28/2016,55.779249,31.4,1175.453481
9/29/2016,55.976272,31.44,1177.898996
9/30/2016,56.25984,31.31,1176.716844
10/3/2016,55.9365,null,1165.01
10/4/2016,56.68992,31.68,1134.604844
10/5/2016,56.72228,31.63,1128.558356
10/6/2016,56.569707,31.83,1117.446224
10/7/2016,56.599985,31.72,1121.137552
10/10/2016,56.875467,32.18,null
10/11/2016,55.9612,31.63,1130.9578
10/12/2016,56.07732,31.65,1135.248118
10/13/2016,55.32036,31.09,1137.03
10/14/2016,55.98824,31.6,1138.942568
10/17/2016,55.685712,31.53,1141.002262
10/18/2016,56.546952,32.2,1146.949805
10/19/2016,56.688192,32.3,1154.803342
